iec2lvl20,iec2lvl30,iec2lvl35,iec2lvl40,iec3lvl20,iec3lvl30,iec3lvl35,iec3lvl40,ilayer count,oEC2_Place,oEC3_Place,oEC2_Fasten,oEC3_Fasten,oEC2_SmallRouting,oEC3_SmallRouting,oEC2_Routing,oEC3_Routing
1,1,1,1,1,1,1,1,1,100,0,0,100,0,100,0,100
1,1,1,1,0,0,0,0,1,123,0,123,0,123,0,123,0
0,0,0,0,1,1,1,1,1,0,100,0,100,0,100,0,100
1,1,1,1,1,1,1,1,2,100,200,100,200,100,200,100,200
1,1,1,1,0,0,0,0,2,123,0,123,0,123,0,123,0
0,0,0,0,1,1,1,1,2,0,123,0,123,0,123,0,123
1,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,100,0,0,100,0,100,0,100
0,1,1,1,1,1,1,1,1,0,123,0,123,0,123,0,123
0,1,1,1,1,1,1,1,2,0,123,0,123,0,123,0,123
1,1,1,1,0,1,1,1,1,100,0,0,100,0,100,0,100
1,1,1,1,0,1,1,1,2,123,0,100,200,0,123,0,123
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,2,100,200,100,200,100,200,100,200
1,1,1,1,1,1,1,1,3,100,23,100,23,0,123,0,123
1,0,1,1,1,1,1,1,2,100,23,0,123,0,123,0,123
